公司名稱,工作職稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,聯絡人,聯絡方式,連結路徑
社團法人中華長照協會,課輔志工招募,"***本職務為志工性質，不支薪***
中華長照協會秉持成立宗旨「幼有所長、壯有所用、老有所終」的精神，除照顧弱勢失依的獨居老人外，為服務就近的弱勢家庭，特於永和iCare長照咖啡館的活動教室開辦免費課輔班，提供國小學童課後照顧服務，扶助學習弱勢的孩子，減輕弱勢家庭經濟負擔，讓家長可以安心工作。
除輔導孩子們完成作業外，下午5點將提供免費餐點(如綠豆湯…等)供學童享用，讓孩子在協會的陪伴下，度過溫馨快樂的童年時光。

工作內容：
(1)   學童到場點名
(2)   告知咖啡館員工點心準備份數
(3)   回報未到場學生給導師
*此為不支薪職缺",['志工人員'],論件計酬0元,兼職 - 長期工讀,新北市永和區文化路155號 (長照咖啡館),無,無,日班，需輪班,依公司規定,不限,3~5人,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '外籍人士', '原住民', '二度就業', '學生實習']",不拘,大學,不拘,不拘,不拘,不拘,"☆志工福利 (此職務為志工性質，福利不同於正職人員)
(1)可免費參加協會舉辦之長照相關課程。
(2)享有服務相關教育訓練及不定期志工聚餐或活動。
(3)每月每位志工補助長照咖啡館兩張咖啡券。",績效獎金,楊專員,chxclc007@gmail.com,https://www.104.com.tw/job/6rkfq?jobsource=2018indexpoc
社團法人雲林縣長期照護發展協會,雲林縣身心障礙養護中心-社工,雲林縣身心障礙養護中心社工-限專科以上社會工作科系畢,['社工人員'],"月薪27,000~32,000元",全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,無需出差外派,日班，08:00-17:30,依公司規定,不限,1人,['上班族'],不拘,專科、大學,社會學相關,不拘,不拘,不拘,限社會工作科系畢,製服. 年節禮品 獎金. 長青員工宿舍.,賴主任,05-5334209,https://www.104.com.tw/job/6i5bi?jobsource=2018indexpoc
社團法人雲林縣長期照護發展協會,養護中心-看護8H,"雲林縣身心障礙養護中心- 看護（需有照服員受訓証照）學歷不拘,","['照顧服務員', '護理師及護士', '其他醫療人員']","月薪26,000元",全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,無需出差外派,日班/晚班/假日班，需輪班,依公司規定,不限,1人,"['上班族', '原住民', '二度就業', '中壯齡', '中高齡']",不拘,高中以下,不拘,不拘,不拘,不拘,"學歷不拘,工作經驗不拘, 
具照服員証照
夜班費另計",製服. 年節禮品 獎金. 長青員工宿舍.,關小姐,longcare2000@yahoo.com.tw,https://www.104.com.tw/job/6i5b8?jobsource=2018indexpoc
社團法人新北市康復之友協會,個案管理師(板橋),"心橋工作坊為本會附設的精神障礙者社區復健中心,
提供23位經穩定醫療的精神障礙者日間的復健訓練
本中心人力編制包括主任(負責人)一人,個案管理師二人,兼任職能治療師一人,兼職社工一人，及數名志工
精神障礙者社區復健中心個案管理師一職,
1.個案管理 2.提供康復學員生活訓練及工作訓練 3.主管交辦事項。
該復健中心為新北市康復之友協會附設,有來自於社工組,就輔組不同部門之支援與支持
管理中心亦提供專業與行政的協助
上班時間為星期一~星期五8:30~16:30,週六節日輪班上午半天(08:30~12:00)
有勞健保,勞退,年終獎金以及團保,每個月另有績效獎金
另有員工教育訓練津貼5000元/人/年","['社工人員', '護理師及護士', '其他醫療從業人員']","月薪30,000元",全職,新北市板橋區文化路二段548巷31號1樓,不需負擔管理責任,無需出差外派,日班，08:30~16:30，需輪班,週休二日,不限,1人,"['上班族', '應屆畢業生', '夜間就讀中', '外籍人士', '原住民', '二度就業', '中壯齡', '中高齡', '更生人']",不拘,大學,心理學相關、護理助產相關、社會學相關,不拘,Excel、PowerPoint、Word,不拘,個人特質：1.具備服務熱忱 2.主動積極 3.樂於改變 4.具第二專長(運動、美術、手工藝品、烘焙、音樂…等) 5.具團隊工作概念,"1.薪資按協會規定。 
2.上班時間:8:30~16:30(週一至週五) 
3.每年5000元之在職訓練費用。",游雅綺,chiichii33@yahoo.com.tw,https://www.104.com.tw/job/4dt03?jobsource=2018indexpoc
社團法人新北市康復之友協會,樂欣家資中心_社工員(具社工師考照資格),"身心障礙者家庭資源中心之社工員,工作內容包括：精神障礙者個案管理,生活重建,心理重建,關懷訪視,照顧者支持訓練研習等。
本職缺歡迎大學社工系畢業新鮮人加入我們的行列，
請欲投遞履歷者先行上「新北市康復之友協會」官網瞭解本協會。",['社工人員'],"月薪35,913~39,904元",全職,新北市板橋區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,"['上班族', '應屆畢業生']",不拘,大學以上,社會學相關,台語 -- 中等,不拘,不拘,"大學社工系所畢業並具有社工師考照資格,對精神障礙家庭服務與個案工作有興趣者
1.本會提供完整訓練，包括職前訓練以及在職訓練，備有完善督導制度。
2.依照補助民間單位進用社會工作人員之「專業服務費」薪點標準支給表給薪。
3.正職員工每人每年5,000元外部教育訓練津貼。
4.保險-勞健保、勞退、年終獎金、團體保險。
5.給予員工每月社團活動公假時間。","1.薪資按協會規定。 
2.上班時間:8:30~16:30(週一至週五) 
3.每年5000元之在職訓練費用。",呂秀玲,shannonalumi@gmail.com,https://www.104.com.tw/job/4qn3c?jobsource=2018indexpoc
社團法人新北市康復之友協會,就業服務員,"本職缺正式報到日為109年4月1日。
本會承標新北市勞工局身心障礙者支持性就業服務已二十年,每年均獲得服務績優的肯定
本會就業輔導組編制為三名支持性就服員與1名職場適應服務員，由內聘資深督導帶領團隊。在個別的服務外，亦有定期的個督、團督、研習。協會各部門相互支援、協助、互動密切。
就業服務員工作內容包括以下
1.職場訪視、職缺開發、工作分析
2.個案開案晤談、就業評估、相關資源運用與連結
3.研議職重計畫、擬定就業服務計畫、安置就業、訓練工作適應能力、追蹤輔導。
本會固定提供團體意外險、每人每年5000元教育訓練津貼、員工社團、年終獎金、尾牙（或春酒）。不定期提供節日獎金、禮品、員工旅遊補助等等。
本會每月舉行工作會報以促進各部門專業交流、情感支持。每兩週安排教育訓練，員工可依需求參與，提升專業職能。每季舉辦勞資會議以促進勞資合作、提高工作效率、帶動組織成長。","['人力資源人員', '社工人員']","月薪33,500~36,100元",全職,新北市新莊區景德路258號1樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,2人,"['上班族', '應屆畢業生', '原住民', '二度就業', '中壯齡', '中高齡']",不拘,大學、碩士,其他經社心理相關、心理學相關、社會學相關,不拘,不拘,不拘,依身心障礙者職業重建服務專業人員遴用及培訓準則聘用之~需為大學以上社工、心理、職能等相關科系畢,"1.薪資按協會規定。 
2.上班時間:8:30~16:30(週一至週五) 
3.每年5000元之在職訓練費用。",陳永賢先生,winampian@yahoo.com.tw,https://www.104.com.tw/job/5v0pi?jobsource=2018indexpoc
航發協會,飛行機師教官 (台北),"*大專以上學歷, 具航空產業相關資歷為佳 
*具航空模擬飛行教授經驗為佳 
*具航空公司面談教授經驗為佳 
*具飛行教官執照為佳. 
※本協會與美國、澳洲等多所著名飛行學校合作，提供培訓機師養成訓練、與自訓機師先修課程。
※敬邀有教學熱忱的您加入我們、提攜後進，引領學生一圓航空夢！ 
※講授範圍：包含航空專業課程、摸擬飛行、航空公司中英文面談解析~",['講師'],待遇面議 （經常性薪資達 4 萬元或以上）,兼職,台北市中山區,無,無,日班，兼職依公司排班,依公司規定,不限,不限,"['上班族', '外籍人士', '原住民', '二度就業']",不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,"具飛行機師商用駕駛執照, 航空公司飛行經驗、中英文面試教授經驗為佳
具飛行教官執照為佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",留小姐,"tracy@acda.org.tw,vivian@acda.org.tw",https://www.104.com.tw/job/6ih67?jobsource=2018indexpoc
社團法人中華長照協會,職場體驗-學生實習,"高齡化、少子化時代來臨，2020年台灣每5人有1人是老人，要如何提早做好準備，因應時代變遷的趨勢，了解如何照顧家中長輩、熟悉長照相關服務，長照職場實習機會絕對不要錯過！


========================================
時間：一週至少一次，每次2-4小時
內容：
            1.  獨居失依老人個案管理：訪視及紀錄撰寫
            2. 長照2.0A級據點駐點服務民眾(社區整合式服務中心)
            3. 社區關懷據點工作人員 (長照咖啡館) 協助課程與共餐
            4. 社區關懷據點活動拍攝記錄、社群經營
            5. 協助臨時行政業務

* 對長照領域有興趣之同學
* 會提供實習證明(可蓋服務時數章)
* 每月免費2杯咖啡館飲品
* 可參與長照協會出遊、共餐、培訓
========================================

實習據點照片請洽:
官網  https://www.clc.org.tw/
FB  https://www.facebook.com/iCareCafe/
IG  https://instagram.com/icare_cafe?igshid=lyb63yvpvojt

歡迎連絡  02-29212212/  0906803338  丁督導","['社工人員', '照顧服務員', '護理師及護士']",待遇面議 （經常性薪資達 4 萬元或以上）,兼職 - 短期工讀、暑假工讀,新北市永和區文化路155號,無,無,日班,依公司規定,不限,3~5人,"['日間就讀中', '學生實習']",不拘,高中以下、高中、專科、大學,不拘,不拘,不拘,不拘,無,績效獎金,丁督導,02-29212212 或 0906803338,https://www.104.com.tw/job/6b7zw?jobsource=2018indexpoc
航發協會,業務客服人員 (高雄)(薪資3~5萬),"1. 飛行機師/飛機維修/空服地勤就業服務
2. 航發協會國內課程/國際課程服務解說
如果您對航空服務業有熱情!
如果您認為您值得接受培訓, 挑戰高薪!
歡迎加入我們的航業!","['其他客戶服務人員', '電話客服類人員']","月薪30,000~50,000元",全職,高雄市前金區中正四路211號15樓,不需負擔管理責任,無需出差外派,日班/假日班，需輪班,週休二日,兩週內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業', '學生實習']",2年以上,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Excel、Outlook、PowerPoint、Word,文件或資料輸入建檔處理、客戶資料更新維護、業務或通路開發、業績目標分配與績效達成、客戶情報蒐集、產品介紹及解說銷售,"1.具客服經驗、具航空產業或教育業相關資歷佳
2.具備服務熱忱及親切、耐心特質。
3.具備良好的溝通能力及主動洞悉需求的能力，以達成優質服務之成效。
4. 自律, 追求成就感!","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",廖小姐,"tracy@acda.org.tw,vivian@acda.org.tw",https://www.104.com.tw/job/4x2sv?jobsource=2018indexpoc
航發協會,業務行銷專員 (台中)(薪資3~5萬)(正職/兼職可),"1.	飛行機師/飛機維修/空服地勤就業服務
2.	航發協會國內課程/國際課程服務解說
3.	美澳航空/飛行學校諮詢/國際課程解說
如果您對航空服務業有熱情!
如果對國際事務有興趣!
如果您認為您值得接受培訓, 挑戰高薪!
歡迎加入我們的航業!","['產品行銷人員', '電話客服類人員', '業務助理']","月薪30,000~50,000元",全職,台中市西屯區台灣大道三段540號3樓,不需負擔管理責任,無需出差外派,日班/晚班/假日班，09:30-18:30，需輪班,週休二日,兩週內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業', '學生實習']",1年以上,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows XP、Windows 7,行政事務處理、電話接聽與人員接待事項、異業合作規劃與執行、業績目標分配與績效達成、產品介紹及解說銷售,"1.具客服經驗、航空產業或教育業相關資歷佳
2.具備服務熱忱及親切、耐心特質。
3.具備良好的溝通能力及觀察力，以達成優質服務之成效。
4. 具國外遊、留學經驗為佳.
5. 有澳洲及美國留遊學經驗尤佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",Vivian,02-25232336,https://www.104.com.tw/job/6mbm3?jobsource=2018indexpoc
航發協會,客戶服務專員 (台中)(薪資3~5萬)(正職/兼職可),"1. 飛行機師/飛機維修/空服地勤航空職涯規劃解說
2. 航發協會國內課程/國際課程學程規劃服務解說
*如果您對航空服務業有熱情！喜歡與人接觸！
*如果您想要更寬廣的未來，挑戰高薪！
*歡迎加入我們的航業！","['電話客服類人員', '業務助理', '其他客戶服務人員']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,台中市西屯區台灣大道540號3樓 (亞太總部),不需負擔管理責任,無需出差外派,日班/晚班/假日班，需輪班,週休二日,兩週內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業', '學生實習']",不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Excel、Outlook、PowerPoint、Word,客戶資料更新維護、業績目標分配與績效達成、客戶情報蒐集、櫃檯門市接待與需求服務,"1. 具客服經驗、航空產業或教育業相關資歷佳
2. 具備服務熱忱及親切、耐心特質。
3. 具備良好溝通能力及觀察力，以達成優質服務之成效
4. 具備海外遊留學經驗為佳
5. 有澳洲及美國留遊學經驗尤佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",Vivian,02-25232336,https://www.104.com.tw/job/6nh9m?jobsource=2018indexpoc
中華民國儲蓄互助協會,南區督導,"1、查核及輔導儲蓄互助社財業務
2、出列席儲蓄互助社及相關會議
3、擔任儲蓄互助教育講師
4、輔導儲蓄互助社電腦化作業
5、協助處理儲蓄互助社逾期放款及法律訴訟
6、代表協會處理儲蓄互助社及其他機關之公共關係事務","['稽核人員', '查帳／審計人員']","月薪23,800~29,000元",全職,屏東縣屏東市臺南、高雄、屏東各駐點,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,一個月內,1人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,大學,不拘,不拘,Excel、PowerPoint、Word,法律相關條文諮詢服務、帳務查核與會計稽查、財務金融與風險管理,"1、具小客車駕照（車輛自備）
2、認同互助合作理念者
3、曾任儲蓄互助社專職、幹部者為佳","1.週休二日
2.享勞健保及勞退提繳
3.年終獎金
4.考核獎金
5.生日、端午、中秋獎金
6.員工健康檢查
7.員工自強活動
8.相關員工福利保險",陳姵如,無,https://www.104.com.tw/job/6e5jr?jobsource=2018indexpoc
台灣財富管理交流協會,財稅顧問,"1.財稅顧問-協助推動會務、服務會員、提供專業財稅務規劃建議。
2.財稅研訓及推廣協會活動策劃辦理。","['金融專業主管', '金融理財專員']","月薪70,000~100,000元",全職,台北市大同區承德路一段70-1號12樓-1,不需負擔管理責任,無需出差外派,日班，9:00~18:00,週休二日,不限,1~3人,['上班族'],5年以上,大學,財稅金融相關、銀行保險相關、一般商業學類,不拘,不拘,企業內部控制、財務規劃與投資管理、所得稅結算申報、稅務規劃與稅報╱納稅事項、稅務業務處理、稅務顧問服務、會計核算和帳務處理、具備財金專業知識、財富管理規劃諮詢、理財規劃實務與工具運用,"一、五年以上銀行、證券、會計服務經歷以上職務者優先錄用。
二、備以上證照者優先錄用，另備以下證照者亦可：
1.個人租稅申報實務類財稅專業能力證照測驗。
2.營利事業租稅申報實務類財稅專業能力證照測驗。
3.稅務會計實務類財稅專業能力證照測驗。",勞、健保。,謝小姐,aphro@ac-wmat.org,https://www.104.com.tw/job/37bxu?jobsource=2018indexpoc
台灣風力發電產業協會,秘書,"1.負責統籌規劃協會業務
2. 負責會務相關事宜，包含定期召開各項理監事會議
3. 本會業務諮詢窗口
4. 規劃、執行協會年度工作計畫與活動
5. 出納、人事業務
6. 主管臨時交辦事項",['秘書'],"月薪30,000元以上",全職,高雄市楠梓區高楠公路1001號,不需負擔管理責任,需出差，一年累積時間未定,日班，9:00~12:00，13:30~18:00,週休二日,一週內,1人,"['上班族', '應屆畢業生']",3年以上,大學、碩士,不拘,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,DOS、Microsoft SmartPhone、Windows 2000、Windows 2003、Windows XP、iOS、Windows 8、HTML、Web Master/Developer、中文打字150以上、英文打字150以上,工作說明書撰寫、文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、財務策略建議與分析、會計核算和帳務處理,"1. 工作細心負責及耐心、溝通協調能力佳、能夠獨立作業者。
2. 報表與文件檔案資料彙整能力佳
3. 有實際三年以上秘書經驗者佳",,黃秘書長,本職務設定1個工作天回覆,https://www.104.com.tw/job/6vmtv?jobsource=2018indexpoc
社團法人台北市視障者家長協會,【數位閱讀平台】行銷推廣專員,"1、網路平台經營與管理
2、志工召募、訓練與管理
3、行銷或推廣方案規劃設計與執行
4、配合協會推動各項相關活動
5、行政庶務工作及主管交辦其他事項等","['行銷企劃人員', '網站行銷企劃', '行政人員']","月薪28,000~32,000元",全職,台北市松山區敦化北路155巷76號4樓,不需負擔管理責任,無需出差外派,日班，08:30-17:00,依公司規定,不限,1人,"['上班族', '應屆畢業生', '外籍人士', '原住民', '二度就業', '中壯齡', '中高齡', '高齡']",不拘,大學,不拘,不拘,不拘,不拘,"1、大學以上畢業，科系不拘，願意長期在非營利組織工作者。
2、擅長電腦軟體操作(Microsoft office)，熟悉網頁設計、平面繪圖軟體、影片剪輯軟體，或具相關經驗者可加分。
3、溝通及協調性佳、態度積極、認真、負責
4、能獨立作業，願意學習視覺障礙相關知能者。","◆ 保險類
	1.團體意外險
        2.團體職業災害險
◆獎金類 
        1.三節禮金、開工禮金
        2.年終績效獎金
◆ 教育訓練
        提供內部培訓及外部培訓課程
◆請休假制度 
       1.周休二日 
       2.特別休假  
◆津貼補助 
       1.結婚禮金 
       2.喪葬慰問金
       3.生育禮金",社團法人台北市視障者家長協會,無,https://www.104.com.tw/job/6wjr4?jobsource=2018indexpoc
