公司名稱,工作職稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,聯絡人,聯絡方式,連結路徑
社團法人中華民國全國中小企業總會,【創輔中心】長期工讀生(上班地點：捷運古亭站),"1.電話接聽與服務。
2.資料KEY IN與彙整。
3.創業課程及活動辦理協助。
4.文書行政等庶務處理及其他臨時交辦事項。

上班時間分為二時段(上午9:00-12:00；下午13:30-17:30)，每週最少排班5個時段
歡迎日夜校在學學生，以固定且配合最多時間者為佳，依法享有勞健保","['工讀生', '行政助理', '資料輸入人員']",時薪160元,兼職 - 長期工讀,台北市大安區羅斯福路二段95號6樓之3,無,無,日班，09:00-17:30,假日,兩週內,1人,"['日間就讀中', '夜間就讀中']",不拘,專科、大學,不拘,台語 -- 略懂,Excel、PowerPoint、Word,文書處理╱排版能力、行政事務處理、電話接聽與人員接待事項、文件或資料輸入建檔處理,"1.工作態度佳且效率高。
2.個性大方，具服務熱忱，EQ佳且喜歡與人接觸及團隊合作。
3.做事認真負責且勇於承擔責任。",依各專案規定提供相關福利,江小姐,"ray_ho@nasme.org.tw,meggie_chiang@nasme.org.tw,anita_chen@nasme.org.tw",https://www.104.com.tw/job/6w4wf?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企研中心】企業在職教育訓練補助計畫-專案人員(台北),"1.專案計畫執行及控管
2.會議活動辦理及支援
2.協同輔導企業、提供教育訓練規劃與補助款核銷服務
4.配合並支援辦理其他相關業務活動
5.其他臨時交辦事項執行","['行政人員', '其他專案管理師']","月薪29,000~30,000元",全職,台北市大安區羅斯福路二段95號11樓,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,兩週內,1人,"['上班族', '應屆畢業生']",不拘,專科、大學、碩士,不拘,台語 -- 略懂,Excel、Internet Explorer、Outlook、PowerPoint、Word、中文打字20~50,行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、專案規劃執行╱範圍管理、負責文件更新、發行、審核與跟催作業、顧客關係管理,"基本條件：
一、經教育部承認之國內外公私立大專校院學士學位以上。
二、經教育部承認之國內外公私立大專校院專科畢業且具備相關工作經驗1年以上。",依各專案規定提供相關福利,宋先生,無,https://www.104.com.tw/job/6t8m1?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【職發中心】就業服務員 職務代理人2個月(工作地點：竹北),"業務輔導員:
1.外展就業服務人員 
(1)發掘失業者，提供就業資訊、協助就業媒合。 
(2)拜訪雇主、社區民間團體及村里鄰長。 
(3)發揮資源媒介者及組織角色功能，成為桃竹苗分署與村里鄰長間橋樑，促成小型雇主座談會或就業促進研習會。 
(4)宣導就業服務相關措施及勞動相關訊息。 
(5)實驗社區職場經理人角色功能。 
2.因應貿易自由化協助計畫業務就業服務人員 
(1)聯繫可能受貿易自由化影響之失業勞工。 
(2)業務宣導可能受貿易自由化影響相關措施。   
(3)訪視可能受貿易自由化影響之事業單位。","['人力資源人員', '人力／外勞仲介', '公家機關相關人員']","月薪32,888元",全職,新竹縣竹北市竹北,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,一週內,1~2人,['上班族'],3年以上,高中以上,不拘,台語 -- 略懂,不拘,不拘,"業務輔導員資格條件：
(一)經教育部承認之國內外公私立大專校院學士學位以上。 
(二)經教育部承認之國內外公私立大專校院專科畢業且具備相關工作經驗2年以上。 
(三)經教育部承認之國內外公私立高中職畢業且具備就業服務業務相關工作經驗4年以上。",依各專案規定提供相關福利,楊小姐,carol_yang@nasme.org.tw,https://www.104.com.tw/job/6vd7n?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企研中心】勞動部勞動力發展署桃竹苗分署-專案計畫執行【業務輔導員】–企業人力資源提升暨小型企業人力提升計畫,"1.計畫專案人員-負責政府專案(桃竹苗分署-企業人力資源提升暨小型企業人力提升計畫)
2.工作內容：活動辦理、企業教育訓練規劃及專案執行等事項
3.需熟悉OFFICE文書應用軟體(word、excel、ppt) 
4.工作態度積極、抗壓力強、主動學習，善溝通協調
5.具1年以上政府機關專案執行相關經驗者佳
6.具備交通工具佳(需出差訪視)
7.上班地點：台北市大安區
ps.履歷表請含自傳及照片，並註明相關工作經驗及專長","['行政人員', '活動企劃人員', '教育訓練人員']","月薪32,000~33,000元",全職,台北市大安區羅斯福路2段95號,不需負擔管理責任,需出差，一年累積時間未定,日班，09:00-17:30,週休二日,一個月內,1人,['上班族'],1年以上,大學、碩士,企業管理相關、人力資源相關、一般商業學類,不拘,Excel、Outlook、PowerPoint、Word、Adobe Photoshop、Illustrator、PhotoImpact,文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、實體活動規劃與執行、研討會／講座活動規劃與執行,無,依各專案規定提供相關福利,王玉珮,無,https://www.104.com.tw/job/5z5pq?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企研中心】企業在職教育訓練補助計畫-專案人員(新北),"1.專案計畫執行及控管
2.會議活動辦理及支援
2.協同輔導企業、計畫申請單位資格文件及核銷補助請款文件審查
4.配合並支援辦理其他相關業務活動
5.其他臨時交辦事項執行","['行政人員', '其他專案管理師']","月薪29,000~30,000元",全職,新北市新莊區中平路439號南棟三樓,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,兩週內,1人,"['上班族', '應屆畢業生']",不拘,專科、大學、碩士,不拘,台語 -- 略懂,Excel、Internet Explorer、Outlook、PowerPoint、Word、中文打字20~50,行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、專案規劃執行╱範圍管理、負責文件更新、發行、審核與跟催作業、顧客關係管理,"基本條件：
一、經教育部承認之國內外公私立大專校院學士學位以上。
二、經教育部承認之國內外公私立大專校院專科畢業且具備相關工作經驗1年以上。",依各專案規定提供相關福利,宋先生,無,https://www.104.com.tw/job/6wqly?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企研中心】職務代理-協助事業單位員工進修訓練相關業務工作計畫-業務輔導員(派駐新莊),"工作內容：
1.協助政府單位業務執行，協助本案計畫整體業務之推動。
2.熟稔WORD，EXCEL，樞紐分析，彙整與分析相關數據資料。
3.思路清晰、口條佳、抗壓性高、擔任本會與主辦單位之業務溝通橋樑。
4.各項活動及會議辦理。
5.其他例行與臨時交辦事項。","['活動企劃人員', '其他專案管理師', '公家機關相關人員']","月薪32,000~33,000元",全職,新北市新莊區中平路439號南棟,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30~17:30,週休二日,可年後上班,1人,"['上班族', '應屆畢業生', '原住民', '二度就業']",1年以上,高中、專科、大學、碩士,企業管理相關、公共行政相關、社會學相關,不拘,Excel、中文打字20~50,具備人力資源相關知識、文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、管理行事曆與會議協調安排、文書處理軟體操作、專案管理軟體操作、電子試算表軟體操作,"一、學經歷(擇一)
1.經教育部承認之國內外公私立大專校院學士學位以上。
2.經教育部承認之國內外公私立大專校院專科畢業且具備相關實務工作經驗2年以上。
3.經教育部承認之國內外公私立高中職畢業且具備用人單位職缺業務相關工作經驗4年以上。
二、本職務預計年後上班，為期半年，表現狀況佳者，可於屆滿時考慮輪調其他職務。",依各專案規定提供相關福利,黃先生,eric_huang@nasme.org.tw,https://www.104.com.tw/job/6hgva?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【職發中心】業務輔導員(派駐連江),"本職務為政府專案執行，執行內容主要為： 
1.運用個案管理模式，提供求才廠商及求職者連續性服務，協助廠商迅速找到所需人才及求職者盡速重返就業市場。
2.發掘失業者，提供就業資訊、協助就業媒合；並支援辦理其他就業活動，協助相關業務。
3.其他主管交辦事項。","['活動企劃人員', '其他專案管理師', '公家機關相關人員']","月薪32,000~33,000元",全職,連江縣南竿鄉,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:00~17:00,週休二日,兩週內,1人,"['上班族', '應屆畢業生', '原住民', '二度就業']",4年以上,高中、專科、大學,企業管理相關、公共行政相關、社會學相關,不拘,不拘,不拘,無,依各專案規定提供相關福利,楊小姐,hannah_yang@nasme.org.tw,https://www.104.com.tw/job/6tdxr?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企研中心】發展署青年職業訓練相關計畫_專案派駐(新莊)人員【業務督導員】,"工作內容：
1.協助專案計畫業務推動與執行。
2.熟稔WORD、EXCEL、文書處理及製作各式報表等行政作業。
3.具專案管理、溝通協調、團隊合作運作經驗。
4.工作態度積極、抗壓性高、願意學習、負責任。
5.工作內容：配合行政機關調度執行政府專案計畫、行政機關交辦工作事項。
6.薪資標準(採單一薪資)依機關所訂「業務督導員」薪資標準給薪，每月37,132元","['行政人員', '公家機關相關人員', '其他專案管理師']","月薪37,132元",全職,新北市新莊區中平路439號南棟,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30~17:30,週休二日,兩週內,1人,['上班族'],2年以上,專科、大學、碩士,不拘,不拘,Excel、PowerPoint、Word、中文打字20~50,文件收發與檔案管理、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、管理行事曆與會議協調安排、文書處理軟體操作、電子試算表軟體操作,無,依各專案規定提供相關福利,張小姐,無,https://www.104.com.tw/job/6wp6v?jobsource=jolist_c_relevance
社團法人台灣幼兒早期教育協會,臺北市新安非營利幼兒園（委託社團法人台灣幼兒早期教育協會辦理）-教保員,班級經營管理規劃、教學活動執行與記錄、教具教材設備之製作與管理、實施班級親師溝通職教育、情境佈置維護，定時維護班級內外清潔、其他主管交辦事項,"['幼教班老師', '教保員']","月薪32,000~33,000元",全職,台北市大安區臥龍街129號,不需負擔管理責任,無需出差外派,日班,依公司規定,可年後上班,1~5人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,專科、大學,學前教育相關、其他教育相關、兒童保育相關,不拘,不拘,不拘,若具備幼兒園合格教師證更佳,無,林婉玲,無,https://www.104.com.tw/job/6mch5?jobsource=jolist_c_relevance
社團法人台灣幼兒早期教育協會,桃園市草漯非營利幼兒園（委託社團法人台灣幼兒早期教育協會辦理）-教保員,班級經營管理規劃、教學活動執行與記錄、教具教材設備之製作與管理、實施班級親師溝通職教育、情境佈置維護，定時維護班級內外清潔、其他主管交辦事項,"['幼教班老師', '教保員']","月薪32,000~33,000元",全職,桃園市觀音區新生路1462號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~5人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,專科、大學,學前教育相關、其他教育相關、兒童保育相關,不拘,不拘,不拘,若具備幼兒園合格教師證更佳,無,林琬玲,無,https://www.104.com.tw/job/6kzb5?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企資中心】泰國語諮詢(派駐發展署),"1.泰文能力佳(口語翻譯/日常書信翻譯)，國外畢業證書須經由我國駐外單位驗證。
2.協助主管進行文書翻譯/負責外勞業務行銷推廣/協助外勞聘僱業務諮詢。
3.派駐勞發署辦理外勞聘僱案件審查及電話接聽(非屬公務員)。
4.本職務須配合每2個月左右一次週六輪值半日、當日出差來回。
5.工作環境單純，需有良好耐心，能適應團隊生活，抗壓性高，細心負責。
6.最近一年內不得有私立就服機構及其分支機構(外勞仲介公司)任職經歷。
7.本職務有試用期3個月。","['電話客服類人員', '行政人員', '人力／外勞仲介']","月薪31,000~32,000元",全職,台北市中正區中華路一段39號11樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，需輪班,依公司規定,一週內,1人,"['上班族', '外籍人士', '二度就業']",不拘,高中、專科、大學、碩士,不拘,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Outlook、Word、中文打字20~50、英文打字20~50,不拘,無,依各專案規定提供相關福利,林小姐,無,https://www.104.com.tw/job/6tk5w?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【職發中心】職務代理人  (工作地點：新莊區),"1.辦理促進特定對象暨就業弱勢求職者就業服務專案計畫，並進行計畫管控及相關報表資料之彙整。
2.辦理身心障礙者之專案計畫並進行管控。
3.預算管考窗口。
4.其他主管交辦事項。","['活動企劃人員', '其他專案管理師', '公家機關相關人員']","日薪1,264元",全職,新北市新莊區,不需負擔管理責任,無需出差外派,日班,依公司規定,一週內,1人,"['上班族', '二度就業']",4年以上,高中以上,不拘,台語 -- 略懂,Excel、Internet Explorer、Outlook、PowerPoint、LibreOffice Writer、中文打字20~50,人力規劃控管、用人管理、文件檔案資料處理、轉換及整合工作、預算編製與成本控管、專案成本╱品質╱風險管理、專案時間╱進度控管、專案規劃執行╱範圍管理、專案溝通╱整合管理、專案管理架構及專案說明、協商談判能力,無,依各專案規定提供相關福利,楊小姐,hannah_yang@nasme.org.tw,https://www.104.com.tw/job/6tfhz?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企資中心】外國人案件收件及客服,"1.派駐勞動部勞動力發展署辦理外勞聘僱案件收件及電話接聽（非屬公務員）
2.工作環境單純，備有教育訓練及輪調機會。
3.需有耐心及良好學習能力，能適應團隊生活，細心負責。
4.最近一年內不得於私立就服機構及其分支機構(外勞仲介公司)任職經歷。
5.需配合每2個月左右一次週六輪值半日。","['人力／外勞仲介', '行政人員', '其他客戶服務人員']","月薪29,000~30,000元",全職,台北市中正區中華路一段39號,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30~17:30,依公司規定,不限,1~2人,"['上班族', '外籍人士', '二度就業', '中壯齡', '中高齡']",不拘,大學,不拘,不拘,Excel、Outlook、Word、中文打字20~50、英文打字20~50,不拘,周六需值輪班 08:30~12:30，若遇連假也需配合輪值,依各專案規定提供相關福利,黃小姐,dhsc87@dhsc.org.tw,https://www.104.com.tw/job/4p6fp?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企資中心】印尼語諮詢(派駐發展署),"1.印尼文能力佳(口語翻譯/日常書信翻譯)，國外畢業證書須經由我國駐外單位驗證。
2.協助主管進行文書翻譯/負責外勞業務行銷推廣/協助外勞聘僱業務諮詢。
3.派駐勞發署辦理外勞聘僱案件審查及電話接聽(非屬公務員)。
4.本職務須配合每2個月左右一次週六輪值半日、當日出差來回。
5.工作環境單純，需有良好耐心，能適應團隊生活，抗壓性高，細心負責。
6.最近一年內不得有私立就服機構及其分支機構(外勞仲介公司)任職經歷。
7.本職務有試用期3個月。","['電話客服類人員', '行政人員', '人力／外勞仲介']","月薪31,000~32,000元",全職,台北市中正區中華路一段39號11樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，需輪班,依公司規定,一週內,1人,"['上班族', '外籍人士', '二度就業']",不拘,高中、專科、大學、碩士,不拘,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Outlook、Word、中文打字20~50、英文打字20~50,不拘,無,依各專案規定提供相關福利,林小姐,無,https://www.104.com.tw/job/6tk2j?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企研中心】發展署青年職業訓練相關計畫_專案執行人員【業務輔導員】,"工作內容：
1.協助專案計畫業務推動與執行。
2.熟稔WORD、EXCEL、文書處理及製作各式報表等行政作業。
3.具專案管理、溝通協調、團隊合作運作經驗。
4.工作態度積極、抗壓性高、願意學習、負責任。
5.工作內容：配合執行專案計畫。
6.薪資標準(採單一薪資)依機關所訂「業務輔導員」薪資標準給薪，每月32,888元","['行政人員', '公家機關相關人員', '其他專案管理師']","月薪32,888元",全職,台北市大安區羅斯福路2段95號,不需負擔管理責任,需出差，一年累積時間未定,日班，09:00~17:30,週休二日,兩週內,1~2人,['上班族'],2年以上,專科、大學、碩士,不拘,不拘,Excel、PowerPoint、Word、中文打字20~50,文件收發與檔案管理、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、管理行事曆與會議協調安排、文書處理軟體操作、電子試算表軟體操作,無,依各專案規定提供相關福利,張小姐,無,https://www.104.com.tw/job/6wp7h?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企資中心】英/菲律賓語諮詢(派駐發展署),"1.英文能力佳(口語翻譯/日常書信翻譯)、會菲律賓當地語言尤佳(國外畢業證書須經由我國駐外單位驗證)。
2.協助主管進行文書翻譯/負責外勞業務行銷推廣/協助外勞聘僱業務諮詢。
3.派駐勞發署辦理外勞聘僱案件審查及電話接聽(非屬公務員)。
4.本職務須配合每2個月左右一次週六輪值半日、當日出差來回(含人事行政局公告之連假及春節假期)。
5.工作環境單純，需有良好耐心，能適應團隊生活，抗壓性高，細心負責。
6.最近一年內不得有私立就服機構及其分支機構(外勞仲介公司)任職經歷。
7.本職務有試用期3個月。","['電話客服類人員', '行政人員', '人力／外勞仲介']","月薪31,000~32,000元",全職,台北市中正區中華路一段39號11樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，需輪班,依公司規定,一週內,1人,"['上班族', '外籍人士', '二度就業']",不拘,高中、專科、大學、碩士,不拘,菲律賓文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Outlook、Word、中文打字20~50、英文打字20~50,不拘,無,依各專案規定提供相關福利,林小姐,無,https://www.104.com.tw/job/5xn9s?jobsource=jolist_c_relevance
維新醫療社團法人台中維新醫院,（烏日/建國院區）精神護理之家照顧服務員,"於烏日區「維新醫療社團法人附設臺中建國精神護理之家」任職
本機構於107年10月開業，位於烏日建國北路G17捷運站旁約150公尺處，現開始招募對精神照護有興趣之照顧服務人員加入我們維新團隊，歡迎您與我們聯繫!!!",['照顧服務員'],"月薪27,000~35,000元",全職,台中市烏日區建國路413號(暫),不需負擔管理責任,無需出差外派,日班/晚班/大夜班/假日班，需輪班,依公司規定,不限,1~4人,"['上班族', '應屆畢業生', '原住民', '二度就業', '中壯齡', '中高齡']",不拘,高中以下、高中、專科、大學,不拘,不拘,不拘,不拘,"*具備照顧服務員證照
*具精神護理之家經驗尤佳
*本機構於台中就業中心登記缺工獎勵","1.員工體檢。
2.三節獎金：春節、端午、中秋。
3.津貼補助：生日、結婚、生育、疾病、喪葬、急難救助金等。
4.享勞保/健保/新制退休金
5.員工團體意外保險
6.國內/外員工旅遊
7.員工分紅制度
8.合理升遷制度",林小姐,04-23366990-6213,https://www.104.com.tw/job/5l4x7?jobsource=jolist_c_relevance
